"organisation","year_from","year_to","org_codes","dept_groups"
"UK Hyrdographic Office",2013,2013,,"Defence"
"UK Intellectual Property Office",2011,2011,,"Business, Innovation and Skills"
"UK Space Agency",2019,2024,"SPACE0000, SPACE","Business, Energy and Industrial Strategy, Department for Science, Innovation and Technology"
"UK Statistics Authority",2011,2024,"UKSA, UKSA_CorrectedJan2020, UKSA0000","Statistics Authority, UK Statistics Authority, Statistics"
"UK Statistics Authority (including ONS)",2010,2018,"UKSAWITHONS, UKSAGROUP","Statistics Authority, UK Statistics Authority"
"UK Statistics Authority and Office for National Statistics",2009,2009,,"UK Statistics Authority"
"UK Statistics Authority group (including ONS)",2019,2024,"UKSA_GRP, UKSA_GROUP","UK Statistics Authority"
"UK Trade and Investment",2013,2015,,"Business, Innovation and Skills, Business, Innovation & Skills"
"UK Visas and Immigration",2013,2013,,"Home Office"
"Valuation Office Agency",2009,2024,"VOA, VOA0000","HM Revenue & Customs, HM Revenue and Customs"
"Vehicle Certification Agency",2009,2024,"VCA, VCA0000","Transport, Transport, Department for"
"Vehicle Operator Services Agency",2009,2013,,"Transport"
"Vehicle and Operator Services Agency",2010,2011,,"Transport, Department for, Transport"
"Veterinary Laboratories Agency",2009,2010,,"Environment, Food and Rural Affairs, Environment, Food and Rural Affairs, Department for"
"Veterinary Medicines Directorate",2009,2024,"VMD, VMD0000","Environment, Food and Rural Affairs, Environment, Food and Rural Affairs, Department for, Environemnt, Food and Rural Affairs, Environment, Food & Rural Affairs"
"Wales Office",2009,2009,,"Justice"
"Water Regulation Services Authority (Ofwat)",2019,2023,"OFWAT0000, OFWAT","Water Regulation Services Authority (Ofwat)"
"Water Services Regulation Authority (Ofwat)",2024,2024,"OFWAT","Water Services Regulation Authority (Ofwat)"
"Welsh Assembly Government",2010,2010,,"Welsh Assembly Government"
"Welsh Government",2011,2024,"WG","Welsh Government"
"Welsh Revenue Authority",2018,2024,"WRA, WRA0000","Welsh Revenue Authority"
"Wilton Park",2010,2024,"WPEA, WPEA0000","Foreign and Commonwealth Office, Foreign & Commonwealth Office, Foreign, Commonwealth and Development Office"
"Wilton Park Executive Agency",2009,2012,,"Foreign and Commonwealth Office"
